PV1MATH,CNTSCHID,CNTSTUID,PAREDINT,HOMEPOS,HISEI,GRADE,ST004D01T,IMMIG,MATHEFF,ANXMAT,REPEAT,ST062Q01TA,DISCLIM,STUBEHA,STAFFSHORT,EDUSHORT,PROATCE,TEACHSUP,SCHLTYPE,ST059Q01TA,SC175Q01JA,ESCS
402.011,75600229.0,75601988.0,16.0,-1.3279,28.48,1.0,Female,Second-Generation student,,0.6387,Never repeated,One or two times,-0.1114,,,,,-0.8059,Public,4.0,,-0.7325
436.431,75600231.0,75601989.0,14.5,0.0865,32.5,1.0,Female,Second-Generation student,,,Never repeated,Never,,-0.9505,-1.1673,-0.6884,0.0278,,Public,4.0,45.0,-0.3115
348.846,75600083.0,75601990.0,,,,0.0,Male,Native student,,,,,,-0.1692,0.2841,0.2681,0.9398,,Public,,50.0,
470.717,75600068.0,75601991.0,14.5,-0.1643,16.5,0.0,Female,First-Generation student,,,Never repeated,Never,,0.9325,0.5381,0.4292,0.0806,,Public,,50.0,-0.7198
452.977,75600191.0,75601992.0,12.0,-0.1863,82.41,1.0,Female,,0.0758,-0.5006,Never repeated,Never,0.3521,1.0522,0.2841,-0.0672,0.8163,0.4357,Public,1.0,45.0,0.0923
442.976,75600124.0,75601994.0,14.5,-0.0537,65.23,0.0,Female,Native student,,,Never repeated,Never,,1.8048,1.2441,-0.2723,0.9868,,Public,,45.0,0.2471
671.811,75600002.0,75601995.0,16.0,0.8733,68.7,1.0,Female,Native student,1.2831,0.5653,Never repeated,Never,1.8372,-0.1522,-1.1673,-1.4212,0.9655,-2.9095,Public,7.0,40.0,0.9591
403.066,75600174.0,75601996.0,16.0,1.6027,30.78,0.0,Female,Native student,-0.1876,-0.5191,Never repeated,Never,-0.1499,0.6527,0.4622,-0.6483,0.9583,-1.0693,Public,6.0,45.0,0.5521
400.466,75600058.0,75601997.0,14.5,-0.5648,25.95,0.0,Female,First-Generation student,-1.2853,-2.249,Never repeated,Never,-2.4752,0.4781,0.4622,0.2681,0.8065,0.1475,Public,6.0,45.0,-0.711
649.94,75600208.0,75601999.0,16.0,1.4864,81.13,2.0,Female,Native student,0.9187,-0.3794,Never repeated,Never,0.7652,0.2913,-1.1673,-0.6924,0.0,-0.1002,Public,7.0,45.0,1.4535
432.003,75600079.0,75602000.0,16.0,0.4935,79.74,1.0,Male,Second-Generation student,-0.2874,-0.5191,Never repeated,Never,0.1765,0.8153,-0.4295,-0.6884,0.7477,1.5558,Public,3.0,45.0,1.0067
501.916,75600265.0,75602001.0,16.0,-0.7067,43.19,0.0,Male,Second-Generation student,0.93,0.6387,Never repeated,Never,0.4426,-1.1906,-2.1066,-1.4212,1.0,0.8211,Public,5.0,45.0,-0.1917
506.634,75600194.0,75602002.0,16.0,0.5969,77.1,0.0,Female,Native student,-0.2041,0.4067,Never repeated,Never,0.163,-0.3194,-0.5635,-1.4212,0.9643,-2.9095,Public,6.0,45.0,1.0007
592.089,75600002.0,75602003.0,16.0,1.0725,85.85,1.0,Male,Native student,0.4954,-0.638,Never repeated,Never,-0.1354,-0.1522,-1.1673,-1.4212,0.9655,1.5558,Public,8.0,40.0,1.3673
356.372,75600203.0,75602004.0,9.0,-1.9321,22.16,0.0,Male,Second-Generation student,-0.2784,-0.3744,Never repeated,Never,0.0968,0.4147,0.8939,-1.4212,1.0,1.5558,Public,5.0,45.0,-2.2925
525.483,75600025.0,75602005.0,12.0,-0.6799,32.5,0.0,Female,Second-Generation student,-1.046,0.3729,Never repeated,Never,-2.463,0.0761,0.4622,-1.4212,,-2.9095,Public,,45.0,-1.0592
448.325,75600098.0,75602007.0,14.5,0.532,44.94,1.0,Male,Second-Generation student,1.9828,0.051,Never repeated,Never,-2.4425,1.0633,-0.0747,-0.4447,1.0,0.4357,Public,3.0,45.0,0.1121
414.178,75600146.0,75602008.0,12.0,0.3807,28.48,0.0,Male,Second-Generation student,0.0919,0.7889,Never repeated,Never,0.8065,0.4651,0.961,-0.6884,1.0,0.1475,Public,4.0,45.0,-0.6858
456.585,75600248.0,75602009.0,12.0,0.0634,55.25,0.0,Female,Native student,,-0.3744,Never repeated,Never,0.1085,-0.4684,-2.1066,-0.2805,0.8667,0.4357,Public,1.0,50.0,-0.3148
548.391,75600139.0,75602010.0,14.5,0.7048,58.77,1.0,Male,Native student,-0.822,-0.3794,Never repeated,Never,-0.6954,,,,1.0,0.4357,Public,1.0,,0.4464
570.206,75600197.0,75602011.0,12.0,-0.4392,43.33,1.0,Female,Native student,0.9607,-0.1172,Never repeated,Never,-0.6928,0.6532,-0.209,-0.949,0.9407,-0.5635,Public,4.0,45.0,-0.7527
430.305,75600066.0,75602012.0,6.0,-1.5651,,0.0,Male,First-Generation student,,,Never repeated,Never,0.1325,-0.7453,-2.1066,-0.6884,0.9839,0.1475,Public,4.0,50.0,-2.5449
488.693,75600160.0,75602013.0,16.0,-0.6988,42.3,0.0,Female,Native student,-0.9608,0.133,Never repeated,Never,0.3926,0.1795,0.2199,-1.4212,1.0,0.8211,Public,3.0,45.0,-0.2052
589.438,75600021.0,75602014.0,12.0,0.2734,36.97,0.0,Male,Native student,-0.2793,-0.6243,Repeated at lease once,Never,-1.0127,-2.0719,-0.2582,-1.4212,0.8824,-0.1002,Public,5.0,45.0,-0.571
281.65,75600114.0,75602015.0,16.0,-1.1201,50.15,0.0,Female,Native student,-2.1692,-0.2758,Never repeated,One or two times,-0.1114,,,,1.0,-1.0693,Public,5.0,,-0.2354
480.306,75600215.0,75602016.0,14.5,1.0549,77.1,1.0,Male,Native student,-1.466,-0.2885,Never repeated,Never,-0.6761,0.3894,-0.5393,-0.2488,1.0,-0.5635,Public,0.0,,0.9408
624.143,75600213.0,75602017.0,16.0,0.5877,76.49,1.0,Female,Native student,1.1806,-1.1715,Never repeated,One or two times,0.6461,0.9876,-1.1673,-0.6483,0.0164,-1.0693,Public,4.0,45.0,0.9852
421.788,75600208.0,75602018.0,16.0,0.737,60.92,1.0,Female,Native student,-0.2242,0.429,Never repeated,Never,0.4821,0.2913,-1.1673,-0.6924,0.0,-0.1002,Public,3.0,45.0,0.7545
382.491,75600201.0,75602019.0,16.0,0.4696,35.34,0.0,Female,Second-Generation student,-0.017,0.429,Repeated at lease once,Never,-0.1114,-1.0283,-1.1673,-1.4212,,1.5558,Public,6.0,45.0,0.1583
380.325,75600142.0,75602021.0,14.5,-0.4824,24.53,1.0,Male,Native student,-0.6602,-2.3868,Never repeated,Never,-0.2863,0.1795,0.4622,1.0283,0.3438,-0.5635,Public,0.0,,-0.7029
485.179,75600249.0,75602022.0,16.0,0.4722,79.74,0.0,Male,Native student,-1.1051,,Never repeated,Never,1.8514,-0.8524,-0.3715,-0.949,0.9057,0.8211,Public,,50.0,0.9977
561.828,75600238.0,75602023.0,16.0,2.4432,81.92,2.0,Female,First-Generation student,,,Never repeated,Never,-1.176,0.2283,-2.1066,-1.4212,1.0,-1.0693,Public,3.0,45.0,1.8737
520.712,75600142.0,75602024.0,16.0,0.8166,80.46,1.0,Female,Native student,-0.8847,0.1932,Never repeated,Never,,0.1795,0.4622,1.0283,0.3438,,Public,0.0,,1.1572
420.277,75600191.0,75602026.0,14.5,1.2892,55.25,1.0,Male,Native student,,,Never repeated,Never,,1.0522,0.2841,-0.0672,0.8163,,Public,9.0,45.0,0.6275
560.516,75600012.0,75602027.0,16.0,0.9196,60.29,2.0,Female,Native student,-0.5155,1.1417,Never repeated,Never,-0.1361,0.8153,-0.5635,-0.6884,1.0,-2.1346,Public,4.0,45.0,0.8199
540.846,75600062.0,75602028.0,,0.3571,,1.0,Male,Native student,,-0.0394,Never repeated,Three or four times,1.1779,0.1795,-0.1718,-1.4212,,0.8211,Public,1.0,,
455.753,75600248.0,75602029.0,,,,0.0,Male,,,,,,,-0.4684,-2.1066,-0.2805,0.8667,,Public,,50.0,
458.634,75600259.0,75602031.0,16.0,0.9915,43.85,0.0,Male,Native student,-0.1087,0.3729,Never repeated,Never,-2.3913,1.0522,0.2841,-0.6884,1.0,-2.9095,Public,6.0,45.0,0.54
346.497,75600101.0,75602033.0,14.5,-0.2895,28.48,1.0,Female,Second-Generation student,,,Never repeated,Never,0.1614,-1.0762,-0.9675,-0.949,0.7,,Public,0.0,45.0,-0.5466
733.688,75600261.0,75602034.0,16.0,1.7425,81.4,3.0,Female,Native student,2.103,,Repeated at lease once,Never,1.7777,-0.9505,-0.6909,-1.4212,,1.5558,Public,7.0,45.0,1.5671
626.02,75600050.0,75602035.0,14.5,-0.8602,50.37,1.0,Female,Native student,0.5595,1.9397,Never repeated,Never,0.0585,,,,0.9747,-1.3627,Public,4.0,,-0.375
366.469,75600006.0,75602036.0,16.0,-0.0311,25.04,0.0,Male,Native student,-0.984,0.3378,Repeated at lease once,Never,0.3847,-0.0956,-0.5635,-0.6884,0.9155,-0.5635,Public,5.0,50.0,-0.2483
435.014,75600093.0,75602037.0,14.5,-0.1807,43.33,0.0,Male,Native student,-0.0937,-2.3558,Never repeated,Never,1.0855,-1.2585,-1.1673,-0.6884,1.0,0.8211,Public,5.0,45.0,-0.2201
388.954,75600103.0,75602038.0,14.5,-0.9021,27.52,1.0,Male,Native student,2.0435,-1.2756,Never repeated,Never,1.6396,0.1795,-0.9675,-0.949,0.84,-1.0693,Public,2.0,,-0.8242
443.364,75600072.0,75602039.0,16.0,0.5145,75.54,1.0,Male,Native student,,,Never repeated,Never,,-0.0956,-0.5635,-1.4212,0.811,,Public,2.0,45.0,0.9363
483.821,75600219.0,75602041.0,16.0,0.9858,62.39,1.0,Male,Native student,0.3983,-0.2045,Never repeated,Never,1.17,0.6947,0.2841,-1.4212,0.7586,0.8211,Public,1.0,5.0,0.8877
529.926,75600102.0,75602042.0,16.0,0.5279,83.81,2.0,Male,Native student,-0.3785,-0.4577,Never repeated,Never,0.757,,,,,-0.5635,Public,4.0,,1.0981
519.655,75600205.0,75602044.0,16.0,0.0234,74.66,0.0,Female,First-Generation student,0.4358,-0.2045,Never repeated,Never,-1.1331,0.4651,-0.5393,-0.949,0.8113,0.4357,Public,5.0,50.0,0.7117
583.824,75600095.0,75602047.0,16.0,0.6179,50.37,1.0,Female,First-Generation student,1.2233,-1.6625,Never repeated,Never,1.843,-0.0384,-1.1673,-1.4212,,1.5558,Public,4.0,45.0,0.5049
767.501,75600002.0,75602048.0,16.0,0.5529,81.92,1.0,Male,Native student,2.3074,-2.3868,Never repeated,Never,0.1201,-0.1522,-1.1673,-1.4212,0.9655,0.4357,Public,7.0,40.0,1.0731
431.806,75600009.0,75602049.0,12.0,1.4216,38.18,0.0,Female,Native student,,,Never repeated,,-0.2938,-0.0384,0.0425,-1.4212,1.0,,Public,4.0,45.0,-0.0619
356.724,75600040.0,75602050.0,12.0,-0.7523,46.73,0.0,Female,Second-Generation student,,,Never repeated,Never,,0.3894,-0.5635,-1.4212,0.989,,Public,,45.0,-0.8211
475.474,75600178.0,75602051.0,9.0,0.2927,,0.0,Female,Native student,,,Never repeated,,1.8491,-2.0719,-2.1066,-1.4212,0.8889,1.5558,Public,,50.0,-1.4609
614.305,75600166.0,75602052.0,16.0,0.8357,70.34,1.0,Female,Native student,-0.2253,-0.6243,Never repeated,Three or four times,1.0136,1.0305,-0.1548,-0.6924,0.6369,-1.3627,Public,4.0,45.0,0.9742
669.532,75600095.0,75602053.0,16.0,1.7863,79.74,1.0,Male,First-Generation student,2.2398,,Never repeated,Never,0.3847,-0.0384,-1.1673,-1.4212,,1.5558,Public,7.0,45.0,1.5543
518.023,75600148.0,75602054.0,16.0,0.6638,62.45,0.0,Male,Native student,-0.3751,-2.3945,Never repeated,Never,-2.3913,0.0921,0.7007,0.4591,1.0,-1.0693,Public,5.0,45.0,0.7524
588.324,75600107.0,75602056.0,16.0,-0.4049,28.48,0.0,Male,First-Generation student,-0.3751,0.3025,Never repeated,Never,-0.3312,0.1795,0.2841,-1.4212,0.9341,-0.5635,Public,5.0,50.0,-0.3416
564.534,75600233.0,75602057.0,12.0,0.5305,25.23,0.0,Male,Native student,,,Never repeated,Never,,-0.0956,0.7137,-1.4212,0.9792,,Public,,50.0,-0.6838
369.573,75600240.0,75602058.0,16.0,0.2213,,0.0,Male,Native student,,,Never repeated,One or two times,,-0.335,1.3305,0.8339,0.9286,0.4357,Public,6.0,45.0,0.1988
619.351,75600050.0,75602059.0,9.0,-0.6647,33.16,1.0,Male,Native student,,,Repeated at lease once,Never,-0.1114,,,,0.9747,-0.1002,Public,7.0,,-1.548
364.046,75600237.0,75602060.0,16.0,0.7815,43.33,0.0,Male,Native student,0.3048,0.8251,Never repeated,Never,1.831,1.1989,-0.9311,-1.4212,1.0,-1.7015,Public,5.0,45.0,0.4412
480.31,75600255.0,75602061.0,14.5,0.203,28.48,1.0,Female,Native student,-0.0574,-0.6904,Never repeated,Never,,0.4781,0.4622,-1.4212,0.98,,Public,2.0,45.0,-0.338
612.32,75600208.0,75602063.0,12.0,0.8741,17.79,1.0,Female,Native student,0.8869,0.1931,Never repeated,Never,0.1997,0.2913,-1.1673,-0.6924,0.0,0.1475,Public,4.0,45.0,-0.6787
549.859,75600085.0,75602064.0,16.0,1.6447,75.5,1.0,Female,Native student,,,Never repeated,Never,0.7711,0.6482,-1.1673,-1.4212,1.0,0.4357,Public,3.0,45.0,1.4143
464.659,75600219.0,75602065.0,14.5,-0.8713,35.7,1.0,Male,Native student,2.0886,-2.3755,Never repeated,Never,-0.6966,0.6947,0.2841,-1.4212,0.7586,-0.3322,Public,0.0,5.0,-0.6567
565.224,75600126.0,75602066.0,14.5,-0.4369,58.07,1.0,Male,Second-Generation student,-0.7457,-0.5191,Never repeated,Never,-0.5252,0.8273,-0.2766,-1.4212,0.8571,-0.5635,Public,0.0,45.0,-0.0503
555.227,75600025.0,75602068.0,16.0,1.1402,65.12,0.0,Male,Native student,-1.1801,-0.2045,Never repeated,Never,-0.0724,0.0761,0.4622,-1.4212,,-1.3627,Public,5.0,45.0,1.0046
539.145,75600048.0,75602069.0,16.0,1.3078,84.61,0.0,Female,Native student,-0.0936,1.0112,Never repeated,Never,-1.8075,1.1989,1.1402,-0.6884,1.0,-0.8059,Public,5.0,45.0,1.4436
564.738,75600151.0,75602070.0,16.0,-0.4865,82.41,1.0,Female,Native student,0.4086,-0.6243,Never repeated,Never,-2.4616,1.2397,0.2841,-1.4212,1.0,0.4357,Public,4.0,45.0,0.6421
380.632,75600174.0,75602071.0,,0.1835,36.35,0.0,Male,First-Generation student,,,Repeated at lease once,Never,,0.6527,0.4622,-0.6483,0.9583,,Public,,45.0,0.0576
572.23,75600084.0,75602072.0,16.0,0.6101,76.49,0.0,Male,Native student,1.264,-2.3868,Never repeated,Never,-0.9635,1.0522,-0.5635,-0.6844,0.8039,1.5558,Public,5.0,45.0,0.9948
484.85,75600224.0,75602073.0,,-1.1488,20.91,1.0,Male,Native student,,,Never repeated,One or two times,,,,,0.9013,,Public,0.0,,-0.8853
571.563,75600032.0,75602074.0,12.0,1.6685,51.56,0.0,Male,Native student,1.1956,,Never repeated,Never,-0.3191,0.4147,0.2841,0.4292,1.0,1.5558,Public,5.0,45.0,0.2954
516.579,75600179.0,75602075.0,16.0,0.8339,80.78,0.0,Male,Native student,-0.44,-0.6243,Never repeated,Never,0.6387,-0.1348,-1.1673,-1.4212,1.0,-0.5635,Public,7.0,45.0,1.1706
605.101,75600237.0,75602076.0,16.0,0.142,56.0,0.0,Male,Native student,1.9279,-1.6297,Never repeated,Never,0.4375,1.1989,-0.9311,-1.4212,1.0,-0.1002,Public,5.0,45.0,0.4096
609.23,75600088.0,75602077.0,16.0,1.8235,86.72,1.0,Female,Native student,0.3808,0.8918,Never repeated,Never,-0.5252,,,,,0.4357,,3.0,,1.7018
725.824,75600200.0,75602078.0,16.0,1.2173,79.49,1.0,Female,,2.0869,-0.2704,Never repeated,Never,0.3894,0.1447,-2.1066,-1.4212,1.0,1.5558,Public,4.0,45.0,1.3086
364.479,75600087.0,75602079.0,12.0,-1.1343,28.48,0.0,Female,Native student,-1.1302,-1.6654,Never repeated,Never,1.1779,0.1795,0.5252,-0.9432,0.9583,1.5558,Public,4.0,45.0,-1.3275
564.355,75600029.0,75602080.0,16.0,0.6578,72.83,1.0,Male,Native student,1.1571,-0.2045,Never repeated,One or two times,-0.4735,,,,,1.5558,Public,4.0,,0.9459
466.949,75600093.0,75602081.0,,1.5499,45.76,0.0,Female,Native student,-0.1866,-0.1371,Never repeated,Never,-0.0611,-1.2585,-1.1673,-0.6884,1.0,0.1475,Public,5.0,45.0,0.5092
657.228,75600247.0,75602082.0,16.0,1.0524,68.55,1.0,Male,Native student,-0.3432,,Never repeated,Never,0.1548,0.2498,-0.5635,-0.9432,,-0.1002,Public,5.0,45.0,1.0322
473.984,75600233.0,75602083.0,16.0,1.115,21.24,0.0,Female,Native student,1.3313,-0.3744,Never repeated,Never,-0.3243,-0.0956,0.7137,-1.4212,0.9792,-0.1002,Public,5.0,50.0,0.1654
473.67,75600005.0,75602084.0,,-1.5086,16.34,0.0,Female,Second-Generation student,-2.125,-0.638,Repeated at lease once,Never,-0.3312,,,,,-0.8059,Public,5.0,,-1.3617
406.454,75600257.0,75602085.0,,0.6795,,0.0,Male,Native student,-0.8565,-0.0423,Never repeated,Never,1.6396,-0.9148,0.2841,-1.4212,1.0,1.5558,Public,5.0,45.0,
537.234,75600090.0,75602086.0,16.0,0.4849,,0.0,Male,Native student,0.7645,0.6387,Never repeated,Never,-0.3695,,,,,-1.0693,Public,3.0,,0.9959
471.652,75600086.0,75602087.0,16.0,0.8972,79.05,1.0,Female,Native student,0.0634,-1.6297,Never repeated,Never,-0.526,,,,,0.1475,Public,2.0,,1.1647
526.81,75600227.0,75602088.0,16.0,0.6139,59.85,1.0,Male,Native student,-0.8784,-0.9877,Never repeated,Never,-0.1499,0.1795,-2.1066,-1.4212,,-0.3322,Public,2.0,45.0,0.6822
722.489,75600033.0,75602089.0,16.0,1.0245,74.66,1.0,Male,Second-Generation student,2.2206,-2.249,Never repeated,Never,1.0761,0.4781,-0.2766,-0.6884,0.0,1.5558,Public,5.0,45.0,1.1357
331.601,75600149.0,75602090.0,6.0,-0.9393,24.45,1.0,Male,Second-Generation student,,,Never repeated,Never,1.8217,0.4215,-1.1673,0.8339,0.6216,1.5558,Public,4.0,45.0,-2.3364
471.863,75600178.0,75602091.0,12.0,-0.7743,17.79,0.0,Male,Native student,,,Repeated at lease once,Never,1.7353,-2.0719,-2.1066,-1.4212,0.8889,1.5558,Public,5.0,50.0,-1.3769
502.511,75600023.0,75602092.0,16.0,0.6846,21.08,1.0,Female,Native student,-0.2626,2.6109,Never repeated,Never,-1.169,-1.0431,-2.1066,1.0245,0.9438,-0.8059,Public,5.0,45.0,-0.0199
706.797,75600023.0,75602093.0,16.0,-0.0525,30.47,2.0,Male,Native student,0.809,0.051,Never repeated,Never,0.6318,-1.0431,-2.1066,1.0245,0.9438,0.4357,Public,7.0,45.0,-0.1548
587.523,75600115.0,75602094.0,16.0,1.843,75.54,1.0,Male,Second-Generation student,-0.2306,2.635,Never repeated,Never,1.17,1.5517,1.4261,1.6863,1.0,1.5558,Public,4.0,45.0,1.499
571.405,75600067.0,75602095.0,12.0,0.0752,68.55,0.0,Male,Native student,0.7942,,Never repeated,Never,-0.8254,1.4126,0.2841,-1.4212,0.7559,0.4357,Public,3.0,45.0,-0.0587
473.439,75600234.0,75602096.0,16.0,-1.1791,29.16,1.0,Male,First-Generation student,,,Never repeated,Never,,-0.3856,-2.1066,-1.4212,1.0,,Public,0.0,45.0,-0.6567
530.454,75600181.0,75602097.0,16.0,1.608,57.03,1.0,Male,First-Generation student,-1.3599,-2.3945,Never repeated,One or two times,-0.963,-0.7293,-2.1066,-1.4212,0.6889,-0.1002,Private independent,5.0,50.0,1.05
575.132,75600088.0,75602098.0,16.0,0.5798,76.49,1.0,Female,Native student,0.1893,-0.4577,Never repeated,Never,0.6764,,,,,0.8211,,3.0,,0.9819
580.754,75600072.0,75602099.0,16.0,1.7868,75.54,1.0,Male,Native student,,,Never repeated,Never,,-0.0956,-0.5635,-1.4212,0.811,,Public,,45.0,1.4752
609.032,75600135.0,75602100.0,16.0,0.6998,76.49,0.0,Male,Native student,0.6896,,Never repeated,Never,-0.1361,0.6935,0.0276,-1.4212,0.8,-0.0904,Public,4.0,45.0,1.0328
458.37,75600259.0,75602101.0,16.0,-0.2092,83.5,-1.0,Male,Native student,-0.9344,-0.0575,Repeated at lease once,Never,1.8217,1.0522,0.2841,-0.6884,1.0,-2.9095,Public,6.0,45.0,0.7801
507.706,75600169.0,75602102.0,16.0,0.7033,79.74,0.0,Female,Native student,,,Never repeated,Never,0.757,,,,,0.4357,Public,6.0,,1.0956
380.456,75600155.0,75602104.0,14.5,-0.3033,,0.0,Female,Second-Generation student,-0.878,-0.3794,Never repeated,Never,-0.5247,0.6764,0.0425,-1.4212,0.0217,-0.5635,Public,,45.0,-0.4917
420.675,75600142.0,75602105.0,16.0,1.1231,21.82,1.0,Male,Native student,0.0919,0.1031,Never repeated,One or two times,1.6706,0.1795,0.4622,1.0283,0.3438,-2.9095,Public,0.0,,0.1798
563.318,75600074.0,75602107.0,16.0,0.2082,54.86,1.0,Female,Native student,-0.348,0.6387,Never repeated,Never,1.7598,-0.3925,-0.5635,-1.4212,1.0,-0.3322,Public,4.0,45.0,0.4161
497.041,75600217.0,75602109.0,16.0,0.2156,55.4,0.0,Female,Native student,0.8663,-0.2704,Never repeated,One or two times,1.0345,-0.0384,-0.5393,-1.4212,1.0,-0.5635,Public,4.0,45.0,0.4295
411.251,75600045.0,75602110.0,12.0,1.2288,62.39,0.0,Male,Native student,,,Never repeated,Never,,,,,,,Public,,,0.3136
459.326,75600134.0,75602111.0,14.5,-0.6833,,0.0,Male,Second-Generation student,,,Never repeated,Never,-0.0787,,,,,-1.0693,Public,4.0,,-0.2266
395.819,75600223.0,75602112.0,16.0,-0.1254,44.94,0.0,Female,Native student,,,Never repeated,Never,-0.521,-1.1401,0.0276,-0.6483,0.75,0.8211,Private independent,5.0,45.0,0.0875
542.158,75600059.0,75602113.0,16.0,1.8219,81.92,1.0,Male,Native student,2.2345,,Never repeated,Never,-1.8819,,,,,-0.1002,Public,4.0,,1.6105
568.119,75600085.0,75602114.0,16.0,2.0423,79.05,1.0,Male,Native student,0.7395,-2.3558,Never repeated,One or two times,0.4277,0.6482,-1.1673,-1.4212,1.0,1.5558,Public,4.0,45.0,1.6497
413.435,75600020.0,75602115.0,16.0,0.9515,85.85,2.0,Female,Second-Generation student,-0.2678,-0.3794,Never repeated,Never,-0.963,0.2498,-1.1673,-0.9432,0.0132,-2.9095,Public,2.0,65.0,1.3161
355.963,75600076.0,75602116.0,16.0,1.1813,,0.0,Male,Native student,-0.121,0.7774,Never repeated,Never,1.831,0.2408,-2.1066,0.4292,1.0,1.5558,Public,6.0,45.0,1.6175
459.918,75600052.0,75602117.0,16.0,1.309,,0.0,Male,First-Generation student,-0.8784,0.3729,Never repeated,Never,-0.5562,-0.0384,0.6857,-0.113,0.9898,0.1475,Public,5.0,45.0,1.2211
651.489,75600102.0,75602118.0,16.0,2.2986,86.72,1.0,Male,First-Generation student,2.2152,-2.3558,Never repeated,Never,0.757,,,,,-1.0693,Public,4.0,,1.9031
558.817,75600221.0,75602120.0,12.0,0.5064,43.51,0.0,Male,Native student,-0.4958,1.2918,Never repeated,Never,0.7711,,,,,-2.9095,Public,5.0,,-0.3488
484.989,75600221.0,75602121.0,,-0.7691,24.53,-1.0,Male,First-Generation student,-0.111,0.5653,Never repeated,Never,0.6947,,,,,0.4357,Public,5.0,,-1.3165
375.443,75600224.0,75602122.0,16.0,0.8206,79.05,1.0,Male,Native student,-0.1245,0.7774,Never repeated,Never,-0.0784,,,,0.9013,-0.3322,Public,2.0,,1.1322
392.837,75600082.0,75602123.0,6.0,-0.7214,,0.0,Female,Second-Generation student,-1.334,,Repeated at lease once,Never,0.7331,-0.3856,-0.6909,-1.4212,0.9726,-2.9095,Public,,45.0,-2.3556
516.749,75600100.0,75602124.0,16.0,0.5353,79.49,0.0,Male,Native student,2.0397,-0.0575,Never repeated,One or two times,0.6533,0.8988,-0.5635,0.0686,0.7321,-1.0693,Public,5.0,45.0,1.0197
572.114,75600220.0,75602125.0,16.0,0.943,51.35,0.0,Female,Native student,-0.79,1.9397,Never repeated,Never,0.6868,0.1064,0.299,-0.9432,0.7727,-2.9095,Public,5.0,45.0,0.6611
593.445,75600161.0,75602126.0,14.5,-0.5279,65.12,1.0,Female,Native student,-0.2128,-1.1715,Never repeated,Never,0.3884,,,,,-0.1002,Public,4.0,,0.0442
661.11,75600007.0,75602127.0,16.0,2.263,82.41,1.0,Male,Native student,2.0567,-2.382,Never repeated,Never,0.9899,1.0248,-0.1548,-0.6924,1.0,0.8211,Public,6.0,45.0,1.8066
404.851,75600129.0,75602128.0,16.0,3.0869,82.31,0.0,Male,Native student,,,Never repeated,Never,-2.4616,0.1795,0.1276,-0.6483,0.9351,-0.1002,Public,5.0,45.0,2.1537
528.57,75600181.0,75602129.0,16.0,0.1567,70.34,1.0,Male,First-Generation student,-0.1258,-0.2758,Never repeated,One or two times,0.4768,-0.7293,-2.1066,-1.4212,0.6889,-1.0693,Private independent,4.0,50.0,0.6866
618.122,75600241.0,75602131.0,16.0,0.7896,79.05,1.0,Female,First-Generation student,0.6947,0.5653,Never repeated,Never,-0.0611,-0.0384,1.4426,-0.6884,0.9291,0.4357,Public,4.0,45.0,1.1191
561.185,75600064.0,75602132.0,16.0,0.0289,26.64,1.0,Female,First-Generation student,,,Never repeated,Never,,,,,0.9493,,Public,5.0,,-0.1927
626.646,75600062.0,75602133.0,14.5,0.9305,62.39,1.0,Male,Native student,,,Never repeated,Never,,0.1795,-0.1718,-1.4212,,,Public,,,0.6104
379.407,75600108.0,75602135.0,16.0,-0.4936,32.5,0.0,Male,First-Generation student,-0.2446,0.6647,Never repeated,Never,0.7652,1.0082,,,0.0909,1.5558,Public,6.0,45.0,-0.3033
354.287,75600160.0,75602136.0,16.0,0.197,29.16,0.0,Female,Second-Generation student,-0.5884,0.1931,Never repeated,Never,-0.6761,0.1795,0.2199,-1.4212,1.0,-1.3627,Public,4.0,45.0,-0.0739
628.202,75600190.0,75602137.0,16.0,0.3305,70.89,1.0,Male,Native student,0.2298,0.429,Never repeated,Never,0.793,-0.6033,0.5236,-0.4941,0.9952,-0.3322,Public,4.0,45.0,0.7706
286.455,75600116.0,75602138.0,,-1.7259,36.97,0.0,Male,Native student,1.0655,0.1031,,,,,,,,,Public,,,-1.1031
424.661,75600149.0,75602139.0,16.0,-0.5952,22.75,1.0,Male,First-Generation student,,,Never repeated,Never,,0.4215,-1.1673,0.8339,0.6216,,Public,,45.0,-0.5304
505.203,75600112.0,75602140.0,12.0,-0.3639,50.15,0.0,Male,Second-Generation student,-0.6298,0.8757,Never repeated,One or two times,1.1182,-0.0384,0.2841,0.1,0.0,-1.3627,Public,7.0,45.0,-0.592
594.328,75600177.0,75602141.0,14.5,0.1703,57.03,1.0,Female,Native student,0.8207,0.8918,Never repeated,Never,0.3045,-0.4428,-0.4295,-0.3123,1.0,-2.9095,Public,4.0,45.0,0.1872
597.588,75600091.0,75602142.0,16.0,2.5301,70.34,1.0,Male,Second-Generation student,0.8624,-0.7107,Never repeated,Never,-0.1137,0.4781,-2.1066,-1.4212,1.0,0.1475,Public,4.0,45.0,1.6918
489.509,75600196.0,75602143.0,,0.3228,28.48,0.0,Female,Native student,-1.1533,0.8251,Never repeated,Never,-0.2865,-0.0384,0.8939,-1.4212,0.7895,-0.5635,Public,,45.0,-0.5718
